# Data Jordano PhD thesis 1993 unpublished;;;;;
# species;;;;;
# year;;;;;
# id_plant;;;;;
# pcta: water prop. whole fruit;;;;;
# pcas: water prop. Seed;;;;;
# pcap: water prop. Pulp;;;;;
#-----------------------------------------#;;;;;
species;year;id_plant;pcta;pcas;pcap
Pistacia lentiscus;1981;704;0.463;0.32;0.542
Pistacia lentiscus;1981;761;0.307;0.377;0.261
Pistacia lentiscus;1981;720;0.48;0.401;0.518
Pistacia lentiscus;1981;710;0.476;0.339;0.544
Pistacia lentiscus;1981;717;0.369;0.254;0.412
Pistacia lentiscus;1981;709;0.396;0.262;0.452
Pistacia lentiscus;1981;762;0.447;0.3;0.504
Pistacia lentiscus;1982;717;0.353;0.274;0.388
Pistacia lentiscus;1982;704;0.405;0.259;0.477
Pistacia lentiscus;1982;703;0.324;0.273;0.352
Pistacia lentiscus;1982;707;0.388;0.316;0.422
Pistacia lentiscus;1982;706;0.324;0.278;0.349
Pistacia lentiscus;1982;705;0.325;0.262;0.356
Pistacia lentiscus;1982;740;0.362;0.324;0.384
Pistacia lentiscus;1982;762;0.341;0.262;0.371
Pistacia lentiscus;1982;702;0.381;0.363;0.39
Pistacia lentiscus;1982;701;0.35;0.303;0.373
Pistacia lentiscus;1982;709;0.397;0.3;0.431
Pistacia lentiscus;1982;710;0.393;0.29;0.447
