site,id_plant,trap_area,id_dropping,date_collection,regurg,seed_sp1,seed_n1,seed_sp2,seed_n2,viability,barcoded,bird_sp,bird_sp_short,bc_criteria
Puntal,301,0.22,PLE1374,2019-09-09,no,rubus,2,NA,NA,NA,yes,Sylvia melanocephala,Syl.mel,A
Puntal,301,0.22,PLE1375,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A
Puntal,301,0.22,PLE1376,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A
Puntal,302,0.22,PLE1377,2019-09-09,yes,pistacia,1,NA,NA,FLOAT,yes,Luscinia megarhynchos,Lus.meg,B
Puntal,302,0.22,PLE1378,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Luscinia megarhynchos,Lus.meg,A
Puntal,302,0.22,PLE1379,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Luscinia megarhynchos,Lus.meg,A
Puntal,302,0.22,PLE1380,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A
Puntal,303,0.22,PLE1381,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,304,0.44,PLE1382,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Hippolais polyglotta,Hip.pol,B
Puntal,304,0.44,PLE1383,2019-09-09,prob,phillyrea,1,NA,NA,NA,no,NA,NA,NA
Puntal,304,0.44,PLE1384,2019-09-09,no,pistacia,1,NA,NA,SINK,yes,Sylvia hortensis,Syl.hor,A
Puntal,304,0.44,PLE1385,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,304,0.44,PLE1386,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,304,0.44,PLE1387,2019-09-09,unknown,phillyrea,1,NA,NA,SINK,yes,Phoenicurus phoenicurus,Pho.pho,A
Puntal,304,0.44,PLE1388,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,304,0.44,PLE1389,2019-09-09,unknown,phillyrea,1,NA,NA,FLOAT,yes,Sylvia hortensis,Syl.hor,A
Puntal,304,0.44,PLE1390,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,304,0.44,PLE1391,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A
Puntal,304,0.44,PLE1392,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,304,0.44,PLE1393,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,304,0.44,PLE1394,2019-09-09,no,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,304,0.44,PLE1395,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,305,0.22,PLE1396,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,306,0.22,PLE1397,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Sylvia communis,Syl.com,A
Puntal,306,0.22,PLE1398,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,306,0.22,PLE1399,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,307,0.22,PLE1400,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,NA,NA,NA
Puntal,307,0.22,PLE1401,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,308,0.22,PLE1402,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,308,0.22,PLE1403,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,309,0.22,PLE1404,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,B
Puntal,310,0.22,PLE1405,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Phoenicurus phoenicurus,Pho.pho,A
Puntal,310,0.22,PLE1406,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Luscinia megarhynchos,Lus.meg,A
Puntal,311,0.22,PLE1408,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Chloris chloris,Chl.chl,A
Puntal,312,0.22,PLE1409,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,312,0.22,PLE1410,2019-09-09,yes,pistacia,1,NA,NA,NA,no,NA,NA,NA
Puntal,312,0.22,PLE1411,2019-09-09,yes,pistacia,1,NA,NA,NA,no,NA,NA,NA
Puntal,312,0.22,PLE1412,2019-09-09,yes,phillyrea,1,NA,NA,SINK,yes,Sylvia borin,Syl.bor,A
Puntal,312,0.22,PLE1413,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,312,0.22,PLE1414,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,312,0.22,PLE1415,2019-09-09,no,pistacia,2,NA,NA,FLOAT,yes,Sylvia borin,Syl.bor,A
Puntal,312,0.22,PLE1416,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia borin,Syl.bor,A
Puntal,312,0.22,PLE1417,2019-09-09,yes,phillyrea,1,NA,NA,FLOAT,yes,Sturnus unicolor,Stu.uni,A
Puntal,312,0.22,PLE1417,2019-09-09,yes,phillyrea,1,NA,NA,FLOAT,yes,Sturnus unicolor,Stu.uni,A
Puntal,312,0.22,PLE1417,2019-09-09,yes,phillyrea,1,NA,NA,FLOAT,yes,Sturnus unicolor,Stu.uni,A
Puntal,312,0.22,PLE1418,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,312,0.22,PLE1418,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,313,0.22,PLE1419,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Saxicola rubicola,Sax.rub,A
Puntal,313,0.22,PLE1420,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Saxicola rubicola,Sax.rub,A
Puntal,314,0.44,PLE1421,2019-09-09,unknown,phillyrea,1,NA,NA,FLOAT,yes,Sylvia hortensis,Syl.hor,A
Puntal,314,0.44,PLE1422,2019-09-09,no,rubus,4,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,314,0.44,PLE1423,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,314,0.44,PLE1424,2019-09-09,no,pistacia,1,NA,NA,SINK,yes,Sylvia melanocephala,Syl.mel,A
Puntal,314,0.44,PLE1425,2019-09-09,unknown,pistacia,1,NA,NA,NA,no,NA,NA,NA
Puntal,314,0.44,PLE1426,2019-09-09,no,pistacia,1,rubus,5,FLOAT,yes,Sturnus unicolor,Stu.uni,A
Puntal,314,0.44,PLE1428,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,314,0.44,PLE1430,2019-09-09,no,pistacia,2,rubus,4,SINK,yes,Sturnus unicolor,Stu.uni,A
Puntal,314,0.44,PLE1431,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
Puntal,314,0.44,PLE1432,2019-09-09,no,pistacia,1,NA,NA,SINK,yes,Sylvia melanocephala,Syl.mel,A
Puntal,314,0.44,PLE1433,2019-09-09,NA,noseed,NA,NA,NA,NA,yes,Sylvia melanocephala,Syl.mel,A
Puntal,314,0.44,PLE1434,2019-09-09,NA,noseed,NA,NA,NA,NA,no,NA,NA,NA
