id_plant,Chl.chl,Cya.cae,Eri.rub,Hip.pol,Lus.meg,Pho.pho,Syl.com,Syl.mel,Syl.und,Tur.mer,Tur.phi,Cya.coo,Fri.coe,Par.maj,Sax.rub,Syl.atr,Syl.hor,Tur.vis,Fic.hyp,Stu.uni,Syl.bor,Col.pal,Pyr.pyr,Lan.mer,Mus.str,Syl.can,Coc.coc
301,619.46,7.93,1456.14,2.74,6.75,47.16,100.09,2228.2,143.19,365.94,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,707.28,13.37,997.48,NA,123.41,59.55,NA,2029.53,NA,752.42,21.19,141.69,18.08,7.6,32.05,248.09,30.94,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,1052.08,NA,598.8,NA,NA,20.74,26.16,390.62,21.82,NA,NA,NA,8.63,NA,NA,77.22,11.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,1656.27,13.46,2599.76,6.67,24.76,474.78,79.44,4206.06,95.74,2156.85,NA,61.16,84.41,22.13,22.5,373.12,117.51,NA,25.27,66.77,10.24,NA,NA,NA,NA,NA,NA
305,781.46,NA,116.69,NA,NA,NA,NA,588.21,NA,NA,1.54,NA,NA,NA,NA,52.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,710.88,4.67,820.39,NA,NA,NA,32.94,1218.92,NA,70.54,NA,27.19,11.48,15.35,NA,395.33,19.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,548.44,NA,484.83,NA,4.82,NA,NA,233.39,NA,44.31,NA,NA,NA,2.06,NA,177.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,1097.43,NA,1660.9,NA,NA,29.64,NA,731.24,62.91,NA,4.24,NA,NA,NA,NA,132.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,516.45,3.66,877.93,NA,6.34,18.79,19.5,332.09,21.41,45.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,635.97,NA,355.09,NA,4.72,24.11,NA,889.07,22.03,47.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,288.91,NA,269.63,1.1,NA,NA,NA,735.21,18.69,39.64,NA,NA,NA,NA,NA,44.68,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA
312,256.44,NA,393.27,NA,NA,NA,42.71,901.33,NA,NA,NA,NA,NA,NA,NA,297.31,NA,NA,NA,177.31,17.5,NA,NA,NA,NA,NA,NA
313,1277.68,NA,552.14,NA,NA,30.85,27.34,1086.85,36.43,79.56,NA,NA,NA,NA,24.26,87.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,2179.6,NA,4027.08,NA,36.28,187.55,82.79,4253.81,117.96,625.42,NA,NA,25.8,8.84,59.42,818.54,83.17,NA,19.88,351.44,20.75,71.68,11.67,NA,NA,NA,NA
315,1247.7,NA,808.7,NA,10.38,34.5,59.72,2072.73,NA,101.49,NA,NA,NA,NA,NA,122.07,NA,NA,NA,32.45,NA,NA,NA,14.28,NA,NA,NA
316,268.5,NA,253.47,NA,NA,NA,NA,517.26,15.44,NA,NA,NA,4.27,NA,6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,344.15,NA,238.73,NA,NA,NA,NA,969.22,NA,42,NA,NA,NA,NA,NA,53.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,5067.67,NA,1445.32,NA,NA,48.53,315.24,1563.02,NA,537.46,NA,NA,37.78,NA,NA,203.67,NA,NA,NA,NA,NA,NA,NA,NA,1.98,NA,NA
319,452.42,NA,502.74,1.27,NA,45.29,NA,864.56,39.12,NA,4.44,NA,10.08,NA,NA,159.55,24.83,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA
