id_plant,id_dropping,date_collection,regurg,seed_sp1,seed_n1,seed_sp2,seed_n2,viability,barcoded,bird_sp,bird_sp_short,bc_criteria,mh,indiv_samp_eff,plant_sp,seed_sp3,seed_n3,seed_sp4,seed_n4,total_samp_eff
301,PLE1374,2019-09-09,no,rubus,2,NA,NA,NA,yes,Sylvia melanocephala,Syl.mel,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
301,PLE1375,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
301,PLE1376,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
302,PLE1377,2019-09-09,yes,pistacia,1,NA,NA,FLOAT,yes,Luscinia megarhynchos,Lus.meg,B,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
302,PLE1380,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
304,PLE1383,2019-09-09,prob,phillyrea,1,NA,NA,NA,no,NA,NA,NA,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
304,PLE1384,2019-09-09,no,pistacia,1,NA,NA,SINK,yes,Sylvia hortensis,Syl.hor,A,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
304,PLE1387,2019-09-09,unknown,phillyrea,1,NA,NA,SINK,yes,Phoenicurus phoenicurus,Pho.pho,A,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
304,PLE1389,2019-09-09,unknown,phillyrea,1,NA,NA,FLOAT,yes,Sylvia hortensis,Syl.hor,A,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
304,PLE1390,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
304,PLE1391,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia melanocephala,Syl.mel,A,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
304,PLE1394,2019-09-09,no,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1409,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1410,2019-09-09,yes,pistacia,1,NA,NA,NA,no,NA,NA,NA,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1411,2019-09-09,yes,pistacia,1,NA,NA,NA,no,NA,NA,NA,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1412,2019-09-09,yes,phillyrea,1,NA,NA,SINK,yes,Sylvia borin,Syl.bor,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1413,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1414,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1415,2019-09-09,no,pistacia,2,NA,NA,FLOAT,yes,Sylvia borin,Syl.bor,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1416,2019-09-09,no,pistacia,1,NA,NA,FLOAT,yes,Sylvia borin,Syl.bor,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1417,2019-09-09,yes,phillyrea,1,NA,NA,FLOAT,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1417,2019-09-09,yes,phillyrea,1,NA,NA,FLOAT,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1417,2019-09-09,yes,phillyrea,1,NA,NA,FLOAT,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1418,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
312,PLE1418,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Sturnus unicolor,Stu.uni,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
313,PLE1419,2019-09-09,yes,pistacia,1,NA,NA,SINK,yes,Saxicola rubicola,Sax.rub,A,PL,0.22,Pistacia lentiscus,NA,NA,NA,NA,9.68
314,PLE1421,2019-09-09,unknown,phillyrea,1,NA,NA,FLOAT,yes,Sylvia hortensis,Syl.hor,A,PL,0.44,Pistacia lentiscus,NA,NA,NA,NA,9.68
