id_plant,predated.seeds,entire.seeds,entire.Chloris,entire.Pyrrhula,entire.Fringilla
301,177,0,0,0,0
302,64,0,0,0,0
303,159,0,0,0,0
304,424,6,6,0,0
305,245,1,1,0,0
306,108,0,0,0,0
307,53,1,1,0,0
308,145,1,1,0,0
309,65,1,1,0,0
310,141,0,0,0,0
311,84,0,0,0,0
312,46,1,1,0,0
313,176,0,0,0,0
314,166,2,2,0,0
315,94,0,0,0,0
316,43,0,0,0,0
317,85,0,0,0,0
318,572,3,3,0,0
319,140,1,0,1,0
320,113,4,3,0,1
321,220,1,1,0,0
322,204,0,0,0,0
323,9,0,0,0,0
324,82,0,0,0,0
325,87,0,0,0,0
326,589,2,2,0,0
327,137,0,0,0,0
329,176,0,0,0,0
330,260,0,0,0,0
331,117,0,0,0,0
332,600,0,0,0,0
334,445,0,0,0,0
335,6,0,0,0,0
336,163,1,1,0,0
337,206,1,1,0,0
338,543,6,6,0,0
339,110,0,0,0,0
340,96,0,0,0,0
341,1059,0,0,0,0
342,3,0,0,0,0
343,12,0,0,0,0
344,152,0,0,0,0
345,3,1,1,0,0
346,57,0,0,0,0
347,3,0,0,0,0
348,23,1,1,0,0
349,19,0,0,0,0
350,58,0,0,0,0
351,199,0,0,0,0
352,26,0,0,0,0
353,6,0,0,0,0
354,637,0,0,0,0
355,6,0,0,0,0
357,19,0,0,0,0
358,18,0,0,0,0
359,205,0,0,0,0
360,49,0,0,0,0
361,13,0,0,0,0
363,570,0,0,0,0
364,472,0,0,0,0
365,47,0,0,0,0
366,110,0,0,0,0
367,307,0,0,0,0
368,26,0,0,0,0
369,45,0,0,0,0
370,37,0,0,0,0
371,4,0,0,0,0
372,34,0,0,0,0
373,100,0,0,0,0
374,119,0,0,0,0
375,7,0,0,0,0
376,357,0,0,0,0
378,61,0,0,0,0
379,259,0,0,0,0
380,206,0,0,0,0
381,63,1,1,0,0
382,115,1,1,0,0
383,268,0,0,0,0
384,51,0,0,0,0
