fileName;variableName;description;unitText
asymm_null_models_patefield.rds;null.as;Unique pairwise interaction - i.e. combination of individual plant and bird species found interacting with it. For each unique interaction there is 1000 calculated asymmetry values (in columns) generated from 1000 random interaction matrices following Patefiled null model.;
asymm_null_models_vazquez.rds;null.as.vaz;Unique pairwise interaction - i.e. combination of individual plant and bird species found interacting with it. For each unique interaction there is 1000 calculated asymmetry values (in columns) generated from 1000 random interaction matrices following Vazquez null model.;
bc_indiv_lentisc.csv;site;Site where data was collected (n = 2);El Puntal (EP) or Laguna de las Madro–as (LM)
bc_indiv_lentisc.csv;id_plant;Individual plant identification number (n = 80);from 301 to 383
bc_indiv_lentisc.csv;trap_area;Area of seed trap used;square meters
bc_indiv_lentisc.csv;id_dropping;Unique identification number of sample collected for DNA-barcoding analysis;NA
bc_indiv_lentisc.csv;date_collection;Date when sample was collected;format: YYYY-MM-DD
bc_indiv_lentisc.csv;regurg;Whether seed sample collected seemed to be regurgitated;"4 levels: ""yes"", ""no"", ""prob"" (probably) or ""unknown"""
bc_indiv_lentisc.csv;seed_sp1;Species of seed found in the sample;NA
bc_indiv_lentisc.csv;seed_n1;Number of seeds found in the sample for seed_sp1;NA
bc_indiv_lentisc.csv;seed_sp2;Additional second species of seed found in the sample;NA
bc_indiv_lentisc.csv;seed_n2;Number of seeds found in the sample for seed_sp2;NA
bc_indiv_lentisc.csv;viability;Whether seed sample floated or sink during DNA-barcoding protocol indicating its viability;2 levels: FLOAT or SINK
bc_indiv_lentisc.csv;barcoded;Whether sample went through the DNA-barcoding protocol;2 levels: 'yes' or 'no'
bc_indiv_lentisc.csv;bird_sp;Bird species identified with DNA barcoding;NA
bc_indiv_lentisc.csv;bird_sp_short;Abbreviated name of bird species identified with DNA barcoding;NA
bc_indiv_lentisc.csv;bc_criteria;"Criteria followed for bird species identificaition based on DNA sequence quality. Categories: 'A' =  > 150 base pairs and > 99% similarity; 'B' = > 150 bp and 90 - 99 % similarity where the next species' similarity is further than 3%; 'C' = samples with > 150 bp or > 90 - 99 % similarity where the next species' similarity is between 2-3% distance; 'E' = > 150 bp and 90 - 99 % similarity where the next species' similarity is smaller than 2% distance but is absent in the geographical area;  'low_bp_similarity': samples with < 150 bp or < 90 - 99 % similarity (not considered for analysis).";5 levels
bc.indiv.Madronas.Nvisits.post.long.rds;site;Site where data was collected (n = 2);NA
bc.indiv.Madronas.Nvisits.post.long.rds;id_plant;Individual plant identification number;NA
bc.indiv.Madronas.Nvisits.post.long.rds;visits;Number of visits;NA
bc.indiv.Puntal.Nvisits.post.long.rds;site;Site where data was collected (n = 2);NA
bc.indiv.Puntal.Nvisits.post.long.rds;id_plant;Individual plant identification number;NA
bc.indiv.Puntal.Nvisits.post.long.rds;visits;Number of visits;NA
bc.Pvisit.sp.Madronas.rds;site;Site where data was collected (n = 2);NA
bc.Pvisit.sp.Madronas.rds;id_plant;Individual plant identification number;NA
bc.Pvisit.sp.Madronas.rds;bird_sp;Bird species name;NA
bc.Pvisit.sp.Madronas.rds;PVindiv;Relative probability of visit at an individual plant;NA
bc.Pvisit.sp.Madronas.rds;Pbird;Probability that a given visit is from a given bird species;NA
bc.Pvisit.sp.Madronas.rds;Pvisit.sp;Probability of bird species visiting individual plant;NA
bc.Pvisit.sp.Puntal.rds;site;Site where data was collected (n = 2);NA
bc.Pvisit.sp.Puntal.rds;id_plant;Individual plant identification number;NA
bc.Pvisit.sp.Puntal.rds;bird_sp;Bird species name;NA
bc.Pvisit.sp.Puntal.rds;PVindiv;Relative probability of visit at an individual plant;NA
bc.Pvisit.sp.Puntal.rds;Pbird;Probability that a given visit is from a given bird species;NA
bc.Pvisit.sp.Puntal.rds;Pvisit.sp;Probability of bird species visiting individual plant;NA
BirdFuncDat.txt;;see original dataset for metadata: https://figshare.com/collections/EltonTraits_1_0_Species-level_foraging_attributes_of_the_world_s_birds_and_mammals/3306933/1;
cam_indiv_lentisc.csv;id_plant;Individual plant identification number (n = 80);from 301 to 383
cam_indiv_lentisc.csv;cam_period;Month and fornight period when camera was recording;format: YYYY-MM-DD
cam_indiv_lentisc.csv;date_recording;Date camera was placed;format: YYYY-MM-DD
cam_indiv_lentisc.csv;id_video;Unique identifier for video recording;NA
cam_indiv_lentisc.csv;rec_time_hours;Number of hours camera recorded;hours
cam_indiv_lentisc.csv;bird_sp;Bird species identified in video;NA
cam_indiv_lentisc.csv;bird_sp_short;Abbreviated name of bird species identified in video;NA
cam_indiv_lentisc.csv;feeding;Whether bird was seen feeding in the video;"4 levels: ""yes"", ""no"", ""likely"" or ""unknown"""
cam_indiv_lentisc.csv;fruit_visit;Number of fruits consumed per visit;NA
cam_indiv_lentisc.csv;visit_length_sec;Lenght of visit duration in seconds;seconds
